,pop0,pop1,pop2,pop3
0,85.13627350330353,78.5613939166069,85.27676314115524,91.17729663848877
1,85.55774092674255,78.33661139011383,86.48496717214584,91.17729663848877
2,85.78252345323563,77.94324308633804,86.90643459558487,91.17729663848877
3,85.78252345323563,77.80275344848633,87.07502037286758,91.17729663848877
4,85.83871871232986,77.74655818939209,87.24360764026642,91.17729663848877
5,85.83871871232986,77.77465581893921,87.32790052890778,91.17729663848877
6,85.83871871232986,77.74655818939209,87.29980289936066,91.17729663848877
7,85.86681634187698,77.74655818939209,87.29980289936066,91.17729663848877
8,85.86681634187698,77.74655818939209,87.29980289936066,91.17729663848877
9,85.86681634187698,77.74655818939209,87.27170526981354,91.17729663848877
10,85.86681634187698,77.74655818939209,87.27170526981354,91.17729663848877
11,85.86681634187698,77.74655818939209,87.27170526981354,91.17729663848877
12,85.86681634187698,77.74655818939209,87.27170526981354,91.17729663848877
13,85.86681634187698,77.74655818939209,87.27170526981354,91.17729663848877
14,85.86681634187698,77.74655818939209,87.27170526981354,91.17729663848877
